date,equity
2000-01-03,100000.0
2000-01-04,100000.0
2000-01-05,100000.0
2000-01-06,100000.0
2000-01-07,100000.0
2000-01-10,100000.0
2000-01-11,100000.0
2000-01-12,100000.0
2000-01-13,100000.0
2000-01-14,100000.0
2000-01-18,100000.0
2000-01-19,100000.0
2000-01-20,100000.0
2000-01-21,100000.0
2000-01-24,98389.70408154387
2000-01-25,98085.37635676553
2000-01-26,99481.92729001136
2000-01-27,99054.51000930755
2000-01-28,96994.01918674135
2000-01-31,98965.53430662883
2000-02-01,98718.15174651961
2000-02-02,98711.88063743142
2000-02-03,100757.34016744902
2000-02-04,102027.8630681893
2000-02-07,100073.75405662625
2000-02-08,99928.33009103616
2000-02-09,98784.96295264768
2000-02-10,97487.91209208731
2000-02-11,97098.13011991161
2000-02-14,97272.11698117219
2000-02-15,97886.72749765396
2000-02-16,96493.23648899928
2000-02-17,97211.6238703213
2000-02-18,95742.71830507996
2000-02-22,96125.08961444079
2000-02-23,94852.85701461058
2000-02-24,92471.25323427694
2000-02-25,92670.40445535483
2000-02-28,93236.03911461438
2000-02-29,94357.82882132474
2000-03-01,95573.25510808706
2000-03-02,93626.94309679627
2000-03-03,94370.72209511622
2000-03-06,92332.21272056662
2000-03-07,90065.58829977358
2000-03-08,90587.4704406582
2000-03-09,92267.31753891689
2000-03-10,91545.95778418003
2000-03-13,90923.1884349715
2000-03-14,91008.14618884219
2000-03-15,96962.18217430865
2000-03-16,104203.11018348752
2000-03-17,102851.56956905131
2000-03-20,102980.52934743986
2000-03-21,104564.13744863802
2000-03-22,103543.68017619064
2000-03-23,104817.66695946408
2000-03-24,106063.39283920148
2000-03-27,105051.55599372005
2000-03-28,104409.12298415037
2000-03-29,105186.61326112735
2000-03-30,108104.5684002412
2000-03-31,109976.66272796714
2000-04-03,108820.98245408632
2000-04-04,110000.35906189895
2000-04-05,110604.19500122087
2000-04-06,110272.86464991381
2000-04-07,110036.76103084741
2000-04-10,110737.75152424074
2000-04-11,110320.68189668485
2000-04-12,110244.96222971329
2000-04-13,110277.82965740343
2000-04-14,106644.2408715131
2000-04-17,106945.80001508158
2000-04-18,107144.80776703329
2000-04-19,107569.82664781886
2000-04-20,107715.98206299118
2000-04-24,107973.30165767843
2000-04-25,110489.79979871948
2000-04-26,109306.47307565766
2000-04-27,109057.11669124212
2000-04-28,109709.13670079496
2000-05-01,111514.89174959535
2000-05-02,110947.21305109476
2000-05-03,109292.93704688772
2000-05-04,112006.40866065037
2000-05-05,112222.60407496178
2000-05-08,112257.48785163352
2000-05-09,111579.91981210935
2000-05-10,110882.48846565187
2000-05-11,112517.53567091789
2000-05-12,112762.48728885477
2000-05-15,114178.95340559463
2000-05-16,115977.80777443909
2000-05-17,114270.07569732761
2000-05-18,114275.61271768525
2000-05-19,112300.48506417667
2000-05-22,112049.25479700549
2000-05-23,111593.42985814475
2000-05-24,112029.72108695291
2000-05-25,109924.52070821836
2000-05-26,109627.6823765066
2000-05-30,111486.90971278008
2000-05-31,110749.74055300435
2000-06-01,112480.35979877845
2000-06-02,113521.42832070224
2000-06-05,112978.39531544635
2000-06-06,112446.2922200268
2000-06-07,113160.16204356837
2000-06-08,112220.79816799737
2000-06-09,111824.08258418366
2000-06-12,110985.72267054276
2000-06-13,112187.30589992492
2000-06-14,112286.60893739913
2000-06-15,111883.24259357661
2000-06-16,111173.53176652691
2000-06-19,111270.6816922966
2000-06-20,109189.83565165279
2000-06-21,108603.81224732785
2000-06-22,108204.22828809288
2000-06-23,108065.1967618442
2000-06-26,108730.1951102933
2000-06-27,109407.01785274433
2000-06-28,109937.72334587098
2000-06-29,109391.54953821453
2000-06-30,109140.46411095223
2000-07-03,111838.54951852994
2000-07-05,110963.0722336779
2000-07-06,111471.3648063163
2000-07-07,112202.70528930947
2000-07-10,112857.30394690736
2000-07-11,112113.8694047765
2000-07-12,113508.6523297081
2000-07-13,114023.61902941203
2000-07-14,115401.45442344026
2000-07-17,114840.96687660477
2000-07-18,113845.68962615787
2000-07-19,113760.26829462862
2000-07-20,114321.07891564019
2000-07-21,112691.4066521492
2000-07-24,111960.81176580359
2000-07-25,112451.77334730513
2000-07-26,112081.58430830375
2000-07-27,112665.07013798495
2000-07-28,111863.6459542154
2000-07-31,112943.25552957632
2000-08-01,112820.8737563599
2000-08-02,112973.60958865717
2000-08-03,113190.67186299818
2000-08-04,114148.54155680358
2000-08-07,115217.30854671053
2000-08-08,115954.49365156499
2000-08-09,115150.54028592602
2000-08-10,114837.50729236277
2000-08-11,116548.11860653308
2000-08-14,118098.26031660271
2000-08-15,117442.00805069675
2000-08-16,117399.25384094438
2000-08-17,118101.44598885278
2000-08-18,118242.77520478446
2000-08-21,118145.89654845487
2000-08-22,118110.0589256282
2000-08-23,117402.7315597591
2000-08-24,117475.63460836152
2000-08-25,118048.37080927532
2000-08-28,117345.6571702751
2000-08-29,117265.70777345993
2000-08-30,117980.03837013322
2000-08-31,118218.6246247255
2000-09-01,118547.06625845071
2000-09-05,119279.75199898842
2000-09-06,120145.53153923071
2000-09-07,120306.62415612352
2000-09-08,120056.79550886794
2000-09-11,120060.22851856651
2000-09-12,120539.61437103066
2000-09-13,120537.35643040977
2000-09-14,120212.79538179739
2000-09-15,120312.29678235247
2000-09-18,118532.40000602118
2000-09-19,118424.57756912812
2000-09-20,117560.2804324909
2000-09-21,117414.19931057458
2000-09-22,118038.57520946981
2000-09-25,117369.92342051712
2000-09-26,116895.3537145915
2000-09-27,117552.67290471077
2000-09-28,119603.00944406894
2000-09-29,119857.75289378698
2000-10-02,119651.76021481438
2000-10-03,119374.55241961742
2000-10-04,120075.43183394245
2000-10-05,121361.32304921314
2000-10-06,120553.1689707203
2000-10-09,120377.54087542571
2000-10-10,120547.37132046
2000-10-11,119415.39419230592
2000-10-12,117227.74595735328
2000-10-13,117805.84595594535
2000-10-16,118469.97340492049
2000-10-17,116615.4734062282
2000-10-18,115880.70427196757
2000-10-19,118132.60906636891
2000-10-20,118215.57420827844
2000-10-23,118036.45746016083
2000-10-24,118763.12411708685
2000-10-25,117818.11647455413
2000-10-26,118964.15082903713
