date,equity
2000-01-03,100000.0
2000-01-04,100000.0
2000-01-05,100000.0
2000-01-06,100000.0
2000-01-07,100000.0
2000-01-10,100000.0
2000-01-11,100000.0
2000-01-12,100000.0
2000-01-13,100000.0
2000-01-14,100000.0
2000-01-18,100000.0
2000-01-19,100000.0
2000-01-20,100000.0
2000-01-21,100000.0
2000-01-24,100000.0
2000-01-25,100000.0
2000-01-26,100000.0
2000-01-27,100000.0
2000-01-28,100000.0
2000-01-31,100000.0
2000-02-01,100000.0
2000-02-02,100000.0
2000-02-03,100000.0
2000-02-04,100000.0
2000-02-07,100000.0
2000-02-08,100000.0
2000-02-09,100000.0
2000-02-10,100000.0
2000-02-11,100000.0
2000-02-14,100000.0
2000-02-15,100000.0
2000-02-16,100000.0
2000-02-17,100000.0
2000-02-18,100000.0
2000-02-22,100000.0
2000-02-23,100000.0
2000-02-24,100000.0
2000-02-25,100000.0
2000-02-28,100000.0
2000-02-29,100000.0
2000-03-01,100000.0
2000-03-02,100000.0
2000-03-03,100000.0
2000-03-06,100000.0
2000-03-07,100000.0
2000-03-08,100000.0
2000-03-09,100000.0
2000-03-10,100000.0
2000-03-13,100000.0
2000-03-14,100000.0
2000-03-15,100000.0
2000-03-16,100000.0
2000-03-17,100000.0
2000-03-20,100000.0
2000-03-21,100000.0
2000-03-22,100000.0
2000-03-23,100000.0
2000-03-24,100000.0
2000-03-27,100000.0
2000-03-28,100000.0
2000-03-29,100000.0
2000-03-30,100000.0
2000-03-31,100000.0
2000-04-03,100000.0
2000-04-04,100000.0
2000-04-05,100000.0
2000-04-06,100000.0
2000-04-07,100000.0
2000-04-10,99691.19176798275
2000-04-11,100303.8535153393
2000-04-12,100330.79304085011
2000-04-13,99629.23725321479
2000-04-14,94642.4883349742
2000-04-17,95724.26734735807
2000-04-18,97392.54782451424
2000-04-19,97224.55140792351
2000-04-20,98148.43098330723
2000-04-24,98632.6275707784
2000-04-25,101357.74151942403
2000-04-26,100566.70967298216
2000-04-27,100515.8673430886
2000-04-28,100493.47759950727
2000-05-01,101610.33872572864
2000-05-02,100669.84288575259
2000-05-03,98714.4005206255
2000-05-04,99453.70709499433
2000-05-05,100510.3313126321
2000-05-08,100531.16791297519
2000-05-09,100064.84281785862
2000-05-10,98782.42753798395
2000-05-11,100690.49379602644
2000-05-12,100999.62410456924
2000-05-15,102856.52173823469
2000-05-16,103807.99294505731
2000-05-17,102590.28315277924
2000-05-18,102525.29102885863
2000-05-19,100918.46584047146
2000-05-22,100877.51277457191
2000-05-23,100182.34290779835
2000-05-24,101383.06387603402
2000-05-25,100065.61129935525
2000-05-26,99770.87964480225
2000-05-30,101925.23285821303
2000-05-31,101820.11967477683
2000-06-01,103607.24329156634
2000-06-02,105303.86684974957
2000-06-05,104119.25513836843
2000-06-06,103552.61016078947
2000-06-07,103841.03762799737
2000-06-08,103060.030250818
2000-06-09,103212.98232852724
2000-06-12,102617.29908239048
2000-06-13,103556.0007894935
2000-06-14,103699.3043129032
2000-06-15,103730.27887936492
2000-06-16,102704.5031140907
2000-06-19,103032.63173962252
2000-06-20,102098.45850978281
2000-06-21,101947.52422284022
2000-06-22,100923.97319299376
2000-06-23,100654.47537291638
2000-06-26,101363.0671379418
2000-06-27,101548.60619578767
2000-06-28,102178.83725435426
2000-06-29,101684.04285288452
2000-06-30,100905.49405547744
2000-07-03,102893.57966607584
2000-07-05,102247.39141824542
2000-07-06,102884.75040736231
2000-07-07,104054.00861118101
2000-07-10,104385.09900862192
2000-07-11,105212.38134454793
2000-07-12,105843.28480819994
2000-07-13,105977.09292355961
2000-07-14,106650.21299715534
2000-07-17,106527.31602921184
2000-07-18,105894.72016176644
2000-07-19,105398.4418021936
2000-07-20,106284.58375130416
2000-07-21,105215.80940890369
2000-07-24,104731.24981970637
2000-07-25,104949.37869996883
2000-07-26,104235.5378901221
2000-07-27,104544.0562544174
2000-07-28,103444.75856460039
2000-07-31,104266.83607084228
2000-08-01,105262.84267572737
2000-08-02,105670.19685813188
2000-08-03,106157.93271258233
2000-08-04,106964.51987134176
2000-08-07,108312.06248152314
2000-08-08,108843.03894243928
2000-08-09,108212.82812637303
2000-08-10,107847.26402710374
2000-08-11,109257.88344830545
2000-08-14,110489.02906189585
2000-08-15,109672.03446038655
2000-08-16,109654.76507457155
2000-08-17,110391.683609263
2000-08-18,109967.26203075798
2000-08-21,110262.99617065374
2000-08-22,110412.9600973548
2000-08-23,110202.68808904431
2000-08-24,110204.23858508555
2000-08-25,110368.25616196867
2000-08-28,110572.27490003261
2000-08-29,110480.81176385742
2000-08-30,110747.10046277716
2000-08-31,111523.82655813516
2000-09-01,111753.5775288077
2000-09-05,112084.23363928817
2000-09-06,112186.099557439
2000-09-07,112564.9418689114
2000-09-08,112601.48240088654
2000-09-11,113162.43226598679
2000-09-12,112914.66338612552
2000-09-13,112855.74306262867
2000-09-14,112716.24999864803
2000-09-15,112256.89104488483
2000-09-18,110030.28598926312
2000-09-19,110215.6034134743
2000-09-20,109513.37556037928
2000-09-21,108788.52190303004
2000-09-22,110094.67242545632
2000-09-25,110006.12110365287
2000-09-26,109691.30117019128
2000-09-27,110165.24165402734
2000-09-28,112280.38497677053
2000-09-29,111859.13903236816
2000-10-02,111891.75268102318
2000-10-03,111647.54720991715
2000-10-04,111606.40195395207
2000-10-05,111707.26014948849
2000-10-06,110200.25794082899
2000-10-09,110014.83200624878
2000-10-10,109612.74590381997
2000-10-11,108597.47591126183
2000-10-12,106166.28062892906
2000-10-13,108192.97006266269
2000-10-16,108881.18404079964
2000-10-17,107113.17616576617
2000-10-18,106356.33753771328
2000-10-19,108389.85287530631
2000-10-20,108677.6234241211
2000-10-23,108678.19555588938
2000-10-24,109154.15165563722
2000-10-25,107984.12765908934
2000-10-26,108427.91787887737
2000-10-27,109673.66581364856
2000-10-30,112529.84005377964
2000-10-31,114748.6140856244
2000-11-01,114568.24762002435
2000-11-02,115149.7493271458
2000-11-03,114853.35288552762
2000-11-06,115378.49796833382
2000-11-07,115338.23818546957
2000-11-08,115235.0520256048
2000-11-09,114778.48887365872
2000-11-10,113169.03350898599
