strategy,sharpe,cagr,max_dd,ann_vol,calmar
large_cap_momentum,0.55697,0.116815,-0.560885,0.197646,0.208269
52_week_high_breakout,0.592673,0.121867,-0.554647,0.191261,0.21972
deep_value_all_cap,0.53137,0.11224,-0.553772,0.200462,0.202682
high_quality_roic,0.577382,0.111727,-0.545127,0.175607,0.204957
low_volatility_shield,0.65902,0.127023,-0.520869,0.174225,0.243867
dividend_aristocrats,0.552152,0.100177,-0.528135,0.159938,0.189681
moving_average_trend,0.564026,0.112813,-0.542493,0.184283,0.207953
rsi_mean_reversion,0.641091,0.132766,-0.544165,0.192158,0.243982
value_momentum_blend,0.553707,0.113848,-0.557442,0.192021,0.204233
quality_momentum,0.588241,0.120019,-0.55867,0.189249,0.214829
quality_low_vol,0.570434,0.111662,-0.540742,0.178561,0.206498
composite_factor_score,0.590773,0.120101,-0.554925,0.188237,0.216427
volatility_targeting,0.599279,0.124058,-0.552208,0.192949,0.224658
earnings_surprise_momentum,0.545592,0.113986,-0.495231,0.196758,0.230167
benchmark (equal-wt),0.693717,0.149737,-0.546425,0.201829,0.274031
