,large_cap_momentum,52_week_high_breakout,deep_value_all_cap,high_quality_roic,low_volatility_shield,dividend_aristocrats,moving_average_trend,rsi_mean_reversion,value_momentum_blend,quality_momentum,quality_low_vol,composite_factor_score,volatility_targeting,earnings_surprise_momentum
large_cap_momentum,1.0,0.9856584617932835,0.9667692018369253,0.9670883217687242,0.9564914686832523,0.9024086459710571,0.986614984708187,0.9699176628346657,0.9938348343711452,0.990639600101175,0.9788317052990229,0.9882905574362877,0.9813443487289899,0.8609135857453479
52_week_high_breakout,0.9856584617932835,1.0,0.9614993215970941,0.9741157568818793,0.9711652578845184,0.9152204282254736,0.9903087318536594,0.9777600165901312,0.9904506299473307,0.9896131902136835,0.9836035847205258,0.9888652986522002,0.991738811280023,0.8664898753750176
deep_value_all_cap,0.9667692018369253,0.9614993215970941,1.0,0.9367337362465913,0.9317839121686154,0.8683208809354881,0.9639145690064901,0.9577029048881645,0.9760563260524155,0.9571304837143935,0.9478787292577551,0.9556976399502399,0.9660729135475271,0.8413126859311872
high_quality_roic,0.9670883217687242,0.9741157568818793,0.9367337362465913,1.0,0.9809940288052393,0.9566480602375711,0.972316601004603,0.9535539252548005,0.9766577924084876,0.9859993403397203,0.9948293472580509,0.9883331687448383,0.9636866212467932,0.8329925507893763
low_volatility_shield,0.9564914686832523,0.9711652578845184,0.9317839121686154,0.9809940288052393,1.0,0.9455780724645134,0.9678557350827524,0.9532021030042255,0.9686978870774693,0.9754476582087347,0.9826084029918163,0.9775214130771642,0.9643679678148367,0.8313991101641468
dividend_aristocrats,0.9024086459710571,0.9152204282254736,0.8683208809354881,0.9566480602375711,0.9455780724645134,1.0,0.9137888930690267,0.8950722776054071,0.9145130531348167,0.9292746858210824,0.9456301266501962,0.9325342780605345,0.9023687928791864,0.7753834355396604
moving_average_trend,0.986614984708187,0.9903087318536594,0.9639145690064901,0.972316601004603,0.9678557350827524,0.9137888930690267,1.0,0.9743535257634516,0.9908436719334726,0.9884190468913872,0.9832140110182885,0.987794901989683,0.9859185227148038,0.8703466899813203
rsi_mean_reversion,0.9699176628346657,0.9777600165901312,0.9577029048881645,0.9535539252548005,0.9532021030042255,0.8950722776054071,0.9743535257634516,1.0,0.9764456967381219,0.9703874739186217,0.9633564369064495,0.9692134935870469,0.985398348301293,0.8693200775531511
value_momentum_blend,0.9938348343711452,0.9904506299473307,0.9760563260524155,0.9766577924084876,0.9686978870774693,0.9145130531348167,0.9908436719334726,0.9764456967381219,1.0,0.9945649407439633,0.9876649776760151,0.9936712306139445,0.9871766054092316,0.8609714835073122
quality_momentum,0.990639600101175,0.9896131902136835,0.9571304837143935,0.9859993403397203,0.9754476582087347,0.9292746858210824,0.9884190468913872,0.9703874739186217,0.9945649407439633,1.0,0.9941855565878366,0.999255708142182,0.9817424202744106,0.8573367311010239
quality_low_vol,0.9788317052990229,0.9836035847205258,0.9478787292577551,0.9948293472580509,0.9826084029918163,0.9456301266501962,0.9832140110182885,0.9633564369064495,0.9876649776760151,0.9941855565878366,1.0,0.9959821852613392,0.9745372987840868,0.8457036084561034
composite_factor_score,0.9882905574362877,0.9888652986522002,0.9556976399502399,0.9883331687448383,0.9775214130771642,0.9325342780605345,0.987794901989683,0.9692134935870469,0.9936712306139445,0.999255708142182,0.9959821852613392,1.0,0.9807065523793923,0.8548041254759422
volatility_targeting,0.9813443487289899,0.991738811280023,0.9660729135475271,0.9636866212467932,0.9643679678148367,0.9023687928791864,0.9859185227148038,0.985398348301293,0.9871766054092316,0.9817424202744106,0.9745372987840868,0.9807065523793923,1.0,0.8749963939281614
earnings_surprise_momentum,0.8609135857453479,0.8664898753750176,0.8413126859311872,0.8329925507893763,0.8313991101641468,0.7753834355396604,0.8703466899813203,0.8693200775531511,0.8609714835073122,0.8573367311010239,0.8457036084561034,0.8548041254759422,0.8749963939281614,1.0
