year,strategy,sharpe,cagr,max_drawdown,n_days
2000,benchmark,1.4155,0.2926,-0.087,252
2000,large_cap_momentum,0.0,0.0,0.0,252
2000,52_week_high_breakout,1.6903,0.2141,-0.0639,252
2000,deep_value_all_cap,0.0,0.0,0.0,252
2000,high_quality_roic,0.0,0.0,0.0,252
2000,low_volatility_shield,2.796,0.2317,-0.0339,252
2000,dividend_aristocrats,0.0,0.0,0.0,252
2000,moving_average_trend,1.0109,0.0791,-0.0291,252
2000,rsi_mean_reversion,1.5368,0.3378,-0.1172,252
2000,value_momentum_blend,0.0,0.0,0.0,252
2000,quality_momentum,0.0,0.0,0.0,252
2000,quality_low_vol,0.0,0.0,0.0,252
2000,composite_factor_score,0.0,0.0,0.0,252
2000,volatility_targeting,1.2961,0.2119,-0.0618,252
2000,earnings_surprise_momentum,1.3665,0.3743,-0.1379,252
2001,benchmark,0.5586,0.1125,-0.2129,248
2001,large_cap_momentum,0.2718,0.0546,-0.2071,248
2001,52_week_high_breakout,0.0948,0.0223,-0.1767,248
2001,deep_value_all_cap,0.512,0.1357,-0.3452,248
2001,high_quality_roic,0.8531,0.098,-0.0852,248
2001,low_volatility_shield,1.0433,0.1635,-0.1076,248
2001,dividend_aristocrats,0.0,0.0,0.0,248
2001,moving_average_trend,0.2297,0.0453,-0.1832,248
2001,rsi_mean_reversion,0.6916,0.1376,-0.2194,248
2001,value_momentum_blend,0.316,0.0616,-0.2038,248
2001,quality_momentum,0.9728,0.152,-0.1432,248
2001,quality_low_vol,0.787,0.1102,-0.1118,248
2001,composite_factor_score,1.1698,0.1776,-0.127,248
2001,volatility_targeting,0.3713,0.0736,-0.2128,248
2001,earnings_surprise_momentum,0.37,0.0748,-0.2374,248
2002,benchmark,-0.2569,-0.0657,-0.2841,252
2002,large_cap_momentum,-0.0683,-0.0245,-0.2483,252
2002,52_week_high_breakout,-0.1507,-0.0351,-0.2422,252
2002,deep_value_all_cap,-0.6557,-0.1979,-0.4038,252
2002,high_quality_roic,0.2319,0.0463,-0.2016,252
2002,low_volatility_shield,-0.0331,0.0001,-0.1922,252
2002,dividend_aristocrats,0.0,0.0,0.0,252
2002,moving_average_trend,-0.3681,-0.0819,-0.2639,252
2002,rsi_mean_reversion,-0.2913,-0.0691,-0.2949,252
2002,value_momentum_blend,-0.2543,-0.0646,-0.2757,252
2002,quality_momentum,0.0486,0.0094,-0.2274,252
2002,quality_low_vol,0.0045,0.0033,-0.2185,252
2002,composite_factor_score,0.0152,0.0029,-0.2286,252
2002,volatility_targeting,-0.313,-0.0765,-0.2807,252
2002,earnings_surprise_momentum,-0.2655,-0.0675,-0.3156,252
2003,benchmark,2.3183,0.461,-0.1219,252
2003,large_cap_momentum,2.1129,0.4193,-0.0874,252
2003,52_week_high_breakout,2.0846,0.3784,-0.1144,252
2003,deep_value_all_cap,2.1741,0.5055,-0.1496,252
2003,high_quality_roic,1.7475,0.2494,-0.1103,252
2003,low_volatility_shield,2.1602,0.3161,-0.0969,252
2003,dividend_aristocrats,2.1045,0.2322,-0.0357,252
2003,moving_average_trend,2.1318,0.4034,-0.1169,252
2003,rsi_mean_reversion,2.3116,0.4421,-0.1197,252
2003,value_momentum_blend,2.0927,0.4058,-0.1215,252
2003,quality_momentum,2.0824,0.36,-0.1098,252
2003,quality_low_vol,1.6952,0.2608,-0.1153,252
2003,composite_factor_score,2.0373,0.3405,-0.1138,252
2003,volatility_targeting,2.1494,0.418,-0.1196,252
2003,earnings_surprise_momentum,1.8425,0.414,-0.1459,252
2004,benchmark,1.8772,0.2793,-0.071,252
2004,large_cap_momentum,1.5721,0.2491,-0.0934,252
2004,52_week_high_breakout,1.6908,0.2302,-0.0662,252
2004,deep_value_all_cap,1.4251,0.2035,-0.0782,252
2004,high_quality_roic,1.8764,0.2127,-0.0551,252
2004,low_volatility_shield,1.8496,0.2368,-0.0824,252
