strategy,ls_sharpe,lo_sharpe,sharpe_delta,ls_cagr,ls_max_drawdown,ls_volatility,spy_correlation
quality_momentum,0.6344,0.5882,0.0462,0.13,-0.5692,0.1895,0.5595
large_cap_momentum,0.6178,0.557,0.0608,0.1267,-0.557,0.1902,0.636
dividend_aristocrats,0.6026,0.5522,0.0505,0.198,-0.8843,0.4018,0.8587
composite_factor_score,0.4897,0.5908,-0.101,0.0903,-0.5462,0.1629,0.277
value_momentum_blend,0.391,0.5537,-0.1627,0.078,-0.6255,0.1848,0.8078
52_week_high_breakout,0.2686,0.5927,-0.3241,0.0425,-0.2688,0.0987,0.29
moving_average_trend,0.2255,0.564,-0.3385,0.0319,-0.2136,0.058,0.0017
high_quality_roic,-0.0444,0.5774,-0.6218,0.0141,-0.2503,0.0738,-0.2114
low_volatility_shield,-0.5354,0.659,-1.1944,-0.1095,-0.979,0.2119,-0.6753
volatility_targeting,-0.5354,0.5993,-1.1347,-0.1095,-0.979,0.2119,-0.6753
quality_low_vol,-0.5673,0.5704,-1.1377,-0.084,-0.9352,0.1657,-0.6736
deep_value_all_cap,-0.588,0.5314,-1.1194,-0.0168,-0.483,0.0598,0.3749
rsi_mean_reversion,-0.6077,0.6411,-1.2488,-0.0071,-0.2615,0.0431,0.0106
earnings_surprise_momentum,-1.7796,0.5456,-2.3252,-0.0081,-0.2266,0.0158,0.0335
