strategy,parameter,default_value,best_value,default_sharpe,best_sharpe,sharpe_min,sharpe_max,sharpe_range,cv,robustness
large_cap_momentum,lookback,252,315,0.9,1.029,0.734,1.029,0.296,0.117,ROBUST
large_cap_momentum,skip_recent,21,5,0.9,0.949,0.889,0.949,0.06,0.026,ROBUST
large_cap_momentum,top_pct,10,5,0.9,0.911,0.813,0.911,0.098,0.04,ROBUST
large_cap_momentum,large_cap_pct,50,40,0.9,0.966,0.854,0.966,0.112,0.04,ROBUST
52_week_high_breakout,high_window,252,252,0.865,0.865,0.837,0.865,0.027,0.013,ROBUST
52_week_high_breakout,top_pct,10,5,0.865,0.907,0.79,0.907,0.117,0.046,ROBUST
deep_value_all_cap,lookback,252,63,0.73,0.776,0.717,0.776,0.059,0.03,ROBUST
deep_value_all_cap,top_pct,20,30,0.73,0.784,0.647,0.784,0.137,0.064,ROBUST
deep_value_all_cap,ma_window,200,100,0.73,0.788,0.73,0.788,0.058,0.027,ROBUST
high_quality_roic,vol_lookback,252,63,0.821,1.025,0.821,1.025,0.204,0.082,ROBUST
high_quality_roic,mom_lookback,252,63,0.821,0.916,0.821,0.916,0.095,0.048,ROBUST
high_quality_roic,top_pct,20,30,0.821,0.841,0.743,0.841,0.098,0.046,ROBUST
low_volatility_shield,vol_lookback,63,42,0.863,0.864,0.794,0.864,0.069,0.031,ROBUST
low_volatility_shield,bottom_pct,20,10,0.863,0.918,0.774,0.918,0.144,0.067,ROBUST
dividend_aristocrats,lookback_months,36,12,0.518,0.952,0.0,0.952,0.952,0.639,FRAGILE
dividend_aristocrats,min_positive_pct,0.6,0.7,0.518,0.794,0.303,0.794,0.491,0.387,FRAGILE
dividend_aristocrats,top_pct,20,20,0.518,0.518,0.352,0.518,0.166,0.147,ROBUST
moving_average_trend,ma_window,200,100,0.666,0.721,0.627,0.721,0.094,0.052,ROBUST
moving_average_trend,ma_type,sma,ema,0.666,0.679,0.666,0.679,0.013,0.01,ROBUST
rsi_mean_reversion,rsi_period,14,7,0.761,0.859,0.6,0.859,0.259,0.123,ROBUST
rsi_mean_reversion,oversold,30,40,0.761,0.802,0.355,0.802,0.447,0.248,MODERATE
rsi_mean_reversion,exit_threshold,50,45,0.761,0.77,0.615,0.77,0.155,0.08,ROBUST
rsi_mean_reversion,max_positions,20,50,0.761,0.848,0.69,0.848,0.157,0.08,ROBUST
value_momentum_blend,mom_lookback,252,252,0.813,0.813,0.73,0.813,0.083,0.045,ROBUST
value_momentum_blend,mom_weight,0.5,0.8,0.813,0.862,0.759,0.862,0.103,0.044,ROBUST
value_momentum_blend,top_pct,20,10,0.813,0.904,0.745,0.904,0.16,0.072,ROBUST
quality_momentum,mom_lookback,252,189,0.869,0.913,0.77,0.913,0.143,0.061,ROBUST
quality_momentum,mom_weight,0.5,0.7,0.869,0.87,0.852,0.87,0.018,0.008,ROBUST
quality_momentum,top_pct,20,10,0.869,0.94,0.796,0.94,0.144,0.059,ROBUST
quality_low_vol,vol_lookback,126,126,0.81,0.81,0.776,0.81,0.034,0.015,ROBUST
quality_low_vol,quality_lookback,252,189,0.81,0.895,0.81,0.895,0.085,0.045,ROBUST
quality_low_vol,vol_weight,0.5,0.3,0.81,0.833,0.779,0.833,0.054,0.021,ROBUST
quality_low_vol,top_pct,20,20,0.81,0.81,0.749,0.81,0.061,0.031,ROBUST
composite_factor_score,lookback,252,252,0.864,0.864,0.77,0.864,0.094,0.046,ROBUST
composite_factor_score,momentum_weight,0.3,0.5,0.864,0.871,0.832,0.871,0.039,0.016,ROBUST
composite_factor_score,value_weight,0.2,0.3,0.864,0.884,0.859,0.884,0.025,0.011,ROBUST
composite_factor_score,quality_weight,0.3,0.4,0.864,0.868,0.84,0.868,0.027,0.012,ROBUST
composite_factor_score,top_pct,20,10,0.864,0.917,0.81,0.917,0.107,0.044,ROBUST
volatility_targeting,target_vol,0.1,0.2,0.647,0.672,0.45,0.672,0.222,0.126,ROBUST
volatility_targeting,vol_lookback,63,63,0.647,0.647,0.472,0.647,0.175,0.116,ROBUST
volatility_targeting,max_leverage,2.0,3.0,0.647,0.648,0.565,0.648,0.083,0.055,ROBUST
earnings_surprise_momentum,volume_spike_mult,3.0,5.0,0.524,0.909,0.466,0.909,0.443,0.217,MODERATE
earnings_surprise_momentum,price_move_std,2.0,2.5,0.524,0.575,0.442,0.575,0.133,0.099,ROBUST
earnings_surprise_momentum,drift_period,63,63,0.524,0.524,0.06,0.524,0.464,0.49,FRAGILE
earnings_surprise_momentum,max_positions,30,50,0.524,0.636,0.135,0.636,0.501,0.426,FRAGILE
