strategy,display,sharpe,cagr,mdd,ann_vol,bear_sharpe,bull_sharpe,best_regime,pct_pos_years,rank_stab,overlay_sharpe_change,overlay_mdd_change,avg_corr,wfe,oos_sharpe,is_sharpe,wf_verdict,positive_folds,total_folds,mc_verdict,adj_sharpe,iid_p,tier
large_cap_momentum,Large Cap Momentum,0.55697,0.116815,-0.560885,0.197646,-1.4054,2.5988,Bull,76.0,-0.1225,-0.15930000000000005,-0.044300000000000006,0.9638,160.9511,0.7162,0.445,EXCELLENT,8,9,SIGNIFICANT ★★★,0.506838,0.0022,Tier 3 — Confirmed but Weak
52_week_high_breakout,52-Week High Breakout,0.592673,0.121867,-0.554647,0.191261,-1.455,2.8468,Bull,80.0,-0.1225,-0.1295,-0.04520000000000002,0.9682,144.7951,0.722,0.4987,EXCELLENT,8,9,SIGNIFICANT ★★★,0.529389,0.0009,Tier 2 — Solid
deep_value_all_cap,Deep Value All-Cap,0.53137,0.11224,-0.553772,0.200462,-1.6065,2.5024,Bull,76.0,-0.1225,-0.11559999999999998,-0.044500000000000095,0.9408,182.26,0.7311,0.4011,EXCELLENT,8,9,SIGNIFICANT ★★★,0.49651,0.0033,Tier 3 — Confirmed but Weak
high_quality_roic,High Quality ROIC,0.577382,0.111727,-0.545127,0.175607,-1.3721,2.7363,Bull,84.0,-0.1225,-0.14130000000000004,-0.04149999999999998,0.9603,175.3084,0.7566,0.4316,EXCELLENT,8,9,SIGNIFICANT ★★★,0.498384,0.0017,Tier 2 — Solid
low_volatility_shield,Low Volatility Shield,0.65902,0.127023,-0.520869,0.174225,-1.4215,2.8369,Bull,80.0,-0.1225,-0.10150000000000003,-0.05449999999999999,0.9544,125.6734,0.7445,0.5924,EXCELLENT,8,9,LIKELY SIGNIFICANT ★★,0.554989,0.0006,Tier 1 — Most Robust
dividend_aristocrats,Dividend Aristocrats,0.552152,0.100177,-0.528135,0.159938,-1.2962,2.47,Bull,76.0,-0.1225,-0.1426,-0.04469999999999996,0.9074,204.1084,0.7609,0.3728,EXCELLENT,8,9,SIGNIFICANT ★★★,0.459438,0.0027,Tier 3 — Confirmed but Weak
moving_average_trend,Moving Average Trend,0.564026,0.112813,-0.542493,0.184283,-1.5654,2.7679,Bull,80.0,-0.1225,-0.10349999999999993,-0.02760000000000007,0.9674,162.8222,0.7237,0.4444,EXCELLENT,8,9,SIGNIFICANT ★★★,0.505113,0.0018,Tier 3 — Confirmed but Weak
rsi_mean_reversion,RSI Mean Reversion,0.641091,0.132766,-0.544165,0.192158,-1.5138,2.8628,Bull,80.0,-0.1225,-0.09660000000000002,-0.04689999999999994,0.9551,126.6834,0.7333,0.5788,EXCELLENT,8,9,LIKELY SIGNIFICANT ★★,0.571284,0.0004,Tier 1 — Most Robust
value_momentum_blend,Value+Momentum Blend,0.553707,0.113848,-0.557442,0.192021,-1.4838,2.6581,Bull,76.0,-0.1225,-0.13799999999999996,-0.04520000000000002,0.9701,166.9791,0.7209,0.4318,EXCELLENT,8,9,SIGNIFICANT ★★★,0.501954,0.0026,Tier 3 — Confirmed but Weak
quality_momentum,Quality+Momentum,0.588241,0.120019,-0.55867,0.189249,-1.4277,2.7981,Bull,80.0,-0.1225,-0.13399999999999995,-0.04620000000000002,0.9703,146.6052,0.719,0.4904,EXCELLENT,8,9,SIGNIFICANT ★★★,0.520781,0.0013,Tier 2 — Solid
quality_low_vol,Quality+Low Vol,0.570434,0.111662,-0.540742,0.178561,-1.366,2.7293,Bull,80.0,-0.1225,-0.15030000000000004,-0.04470000000000007,0.9675,173.6074,0.7478,0.4308,EXCELLENT,8,9,SIGNIFICANT ★★★,0.500641,0.0019,Tier 2 — Solid
composite_factor_score,Composite Factor Score,0.590773,0.120101,-0.554925,0.188237,-1.4176,2.7811,Bull,80.0,-0.1225,-0.1372,-0.049000000000000044,0.9702,149.1195,0.7273,0.4877,EXCELLENT,8,9,SIGNIFICANT ★★★,0.521017,0.0011,Tier 2 — Solid
volatility_targeting,Volatility Targeting,0.599279,0.124058,-0.552208,0.192949,-1.4947,2.8145,Bull,80.0,-0.1225,-0.12050000000000005,-0.04389999999999994,0.9646,140.9498,0.7227,0.5128,EXCELLENT,8,9,SIGNIFICANT ★★★,0.539934,0.0013,Tier 2 — Solid
earnings_surprise_momentum,Earnings Surprise Momentum,0.545592,0.113986,-0.495231,0.196758,-1.6781,2.5187,Bull,84.0,-0.1225,-0.061,-0.03249999999999997,0.8494,94.0331,0.5291,0.5627,GOOD,7,9,SIGNIFICANT ★★★,0.522463,0.003,Tier 3 — Confirmed but Weak
