strategy,base_sharpe,bear_only_sharpe,aggressive_sharpe,trend_only_sharpe,base_mdd,bear_only_mdd,base_bear_sharpe,bear_only_bear_sharpe,base_bull_sharpe,bear_only_bull_sharpe,sharpe_improvement,mdd_improvement
large_cap_momentum,0.899987,0.85606,0.743279,0.560801,-0.451902,-0.371,-0.777816,-4.013363,3.109528,3.109528,-0.04392699999999994,0.08090200000000003
52_week_high_breakout,0.864632,0.756471,0.642722,0.35385,-0.748757,-0.671564,-1.051603,-4.473352,3.595519,3.595519,-0.10816099999999995,0.07719299999999996
deep_value_all_cap,0.729777,0.57386,0.533035,0.225019,-0.399835,-0.385668,-0.354038,-4.093079,3.143207,3.143207,-0.15591699999999997,0.014166999999999985
high_quality_roic,0.820795,0.656547,0.505885,0.234074,-0.186276,-0.186276,-0.814052,-4.499058,2.534261,2.534261,-0.16424800000000006,0.0
low_volatility_shield,0.86345,0.70792,0.537314,0.298067,-0.286285,-0.295816,-1.063689,-4.632608,3.420035,3.420035,-0.15553000000000006,-0.009531000000000012
dividend_aristocrats,0.518177,0.518177,0.087397,0.290253,-0.028709,-0.028709,0.0,0.0,0.295898,0.295898,0.0,0.0
moving_average_trend,0.666278,0.501714,0.373182,0.110961,-0.263066,-0.240601,-0.892788,-4.498498,3.360333,3.360333,-0.16456400000000004,0.022465000000000013
rsi_mean_reversion,0.760646,0.603665,0.482787,0.274877,-0.985776,-0.980046,-0.745919,-4.41872,3.22435,3.22435,-0.15698100000000004,0.005730000000000013
value_momentum_blend,0.81253,0.711959,0.612058,0.286677,-0.517535,-0.440406,-0.816278,-4.255069,3.392448,3.392448,-0.10057099999999997,0.07712899999999995
quality_momentum,0.869344,0.762556,0.638514,0.355398,-0.283238,-0.265817,-0.857053,-4.241614,3.269725,3.269725,-0.106788,0.017420999999999964
quality_low_vol,0.810112,0.667428,0.510981,0.238035,-0.182671,-0.18733,-0.980213,-4.39365,3.032112,3.032112,-0.14268400000000003,-0.0046589999999999965
composite_factor_score,0.864109,0.743067,0.600257,0.337631,-0.256201,-0.246206,-0.817392,-4.300541,3.197627,3.197627,-0.12104199999999998,0.009995000000000004
volatility_targeting,0.646945,0.529518,0.361968,0.246251,-0.133031,-0.129719,-1.50999,-4.325124,3.419127,3.419127,-0.11742699999999995,0.0033120000000000094
earnings_surprise_momentum,0.524208,0.415283,0.099484,0.36609,-0.237605,-0.218768,-1.550205,-4.69637,2.985509,2.985509,-0.108925,0.01883700000000002
